Time [s],Channel 2
0.000000000,1
3.231119583,0
3.231327917,1
3.231432083,0
3.231536250,1
3.231640500,0
3.231744667,1
3.231848833,0
3.232057167,1
3.232473917,0
3.232682333,1
3.232786500,0
3.232890667,1
3.232994833,0
3.233099000,1
3.233203167,0
3.233411583,1
3.233828333,0
3.234036667,1
3.234140833,0
3.234245083,1
3.234349250,0
3.234453417,1
3.234557583,0
3.234765917,1
3.235182667,0
3.235391083,1
3.235495250,0
3.235599417,1
3.235703583,0
3.235807750,1
3.235912000,0
3.236120333,1
3.236537083,0
3.236745417,1
3.236849583,0
3.236953833,1
3.237058000,0
3.237162167,1
3.237266333,0
3.237474750,1
3.237891417,0
3.238099833,1
3.238204000,0
3.238308167,1
3.238412333,0
3.238516583,1
3.238620750,0
3.238829083,1
3.239245833,0
3.239454167,1
3.239558417,0
3.239662583,1
3.239766750,0
3.239870917,1
3.239975083,0
3.240183500,1
3.240600250,0
3.240808583,1
3.240912750,0
3.241016917,1
3.241121167,0
3.241225333,1
3.241329500,0
3.241537833,1
3.241954583,0
3.242162917,1
3.242267167,0
3.242371333,1
3.242475500,0
3.242579667,1
3.242683833,0
3.242892250,1
3.243309000,0
3.243517333,1
3.243621500,0
3.243725667,1
3.243829917,0
3.243934083,1
3.244038250,0
3.244246583,1
3.244663333,0
3.244871750,1
3.244975917,0
3.245080083,1
3.245184250,0
3.245288417,1
3.245392667,0
3.245601000,1
3.246017750,0
3.246226083,1
3.246330250,0
3.246434500,1
3.246538667,0
3.246642833,1
3.246747000,0
3.246955417,1
3.247372083,0
3.247580500,1
3.247684667,0
3.247788833,1
3.247893000,0
3.247997250,1
3.248101417,0
3.248309750,1
3.248726500,0
3.248934833,1
3.249039000,0
3.249143250,1
3.249247417,0
3.249351583,1
3.249455750,0
3.249664167,1
3.250080833,0
3.250289250,1
3.250393417,0
3.250497583,1
3.250601750,0
3.250706000,1
3.250810167,0
3.251018500,1
3.251435250,0
3.251643583,1
3.251747833,0
3.251852000,1
3.251956167,0
3.252060333,1
3.252164500,0
3.252372917,1
3.252789667,0
3.252998000,1
3.253102167,0
3.253206333,1
3.253310583,0
3.253414750,1
3.253518917,0
3.253727250,1
3.254144000,0
3.254352417,1
3.254456583,0
3.254560750,1
3.254664917,0
3.254769083,1
3.254873333,0
3.255081667,1
3.255498417,0
3.255706750,1
3.255810917,0
3.255915167,1
3.256019333,0
3.256123500,1
3.256227667,0
3.256436083,1
3.256852750,0
3.257061167,1
3.257165333,0
3.257269500,1
3.257373667,0
3.257477833,1
3.257582083,0
3.257790417,1
3.258207167,0
3.258415500,1
3.258519667,0
3.258623917,1
3.258728083,0
3.258832250,1
3.258936417,0
3.259144833,1
3.259561500,0
3.259769917,1
3.259874083,0
3.259978250,1
3.260082417,0
3.260186667,1
3.260290833,0
3.260499167,1
3.260915917,0
3.261124250,1
3.261228500,0
3.261332667,1
3.261436833,0
3.261541000,1
3.261645167,0
3.261853583,1
3.262270333,0
3.262478667,1
3.262582833,0
3.262687000,1
3.262791250,0
3.262895417,1
3.262999583,0
3.263207917,1
3.263624667,0
3.263833083,1
3.263937250,0
3.264041417,1
3.264145583,0
3.264249750,1
3.264354000,0
3.264562333,1
3.264979083,0
3.265187417,1
3.265291583,0
3.265395750,1
3.265500000,0
3.265604167,1
3.265708333,0
3.265916750,1
3.266333417,0
3.266541833,1
3.266646000,0
3.266750167,1
3.266854333,0
3.266958500,1
3.267062750,0
3.267271083,1
3.267687833,0
3.267896167,1
3.268000333,0
3.268104583,1
3.268208750,0
3.268312917,1
3.268417083,0
3.268625500,1
3.269042167,0
3.269250583,1
3.269354750,0
3.269458917,1
3.269563083,0
3.269667333,1
3.269771500,0
3.269979833,1
3.270396583,0
3.270604917,1
3.270709167,0
